address,score,allowed
0x937EC42DDfEC2059BB64D613F99547a62cda6c01,2474,true
0x886478D3cf9581B624CB35b5446693Fc8A58B787,2325,true
0x089C6634ba6754F6406bE19edA335F2d86553d28,2305,true
0x8d9Cb73a8AC9AD9E4dd064800e40FdE6C26eb43F,2293,true
0x2820930e1f7BBf5aF46602b37941eE51a31e6CD9,2281,true
0x59a851891E2F0a1eA91351b042DD75b10aF095D0,2269,true
0x9E2218375567BB466b81E38E1a8b599b6250408C,2233,true
0xd4b2D9b3770c1AB761555a70d85FDa8C7a1D9110,2216,true
0x68e33A587f1d697c5e0f8b8794cFA304B41a61e2,2208,true
0xF4Fb9FA23edB32215E5284cf7dBfDB5607d51a5b,2200,true
0x660d74E5cA8B853aB58A2a336b58ac05F475887C,2200,true
0xe6ed172ceF2F3B07CE579193CceF9f0C58363F56,2200,true
0x287bDF8c332D44Bb015F8b4dEb6513010c951f39,2194,true
0x5Bf46B6E7F93445bc0425Fd2217e601301F31738,2188,true
0x9727e451546E8D2103D432967796904164477D9a,2173,true
0x73be99a9feb67c2789657F324bf807e9D37A39F8,2170,true
0xf19AED29A6cd4f5A1B3c8Ed79D987e3fC1dcA853,2153,true
0x9325564ADe7683706107685Cf1993678B1163261,2146,true
0x8476B6a8aA0B4037e69e79f116F662aA0096B0c0,2144,true
0x46d550542FbE83059bbe9747A3885598407bf518,2140,true
0xDD581AE4060294AB68dDBdC60A2c641F9205722d,2134,true
0x497fE20C94D4Ba9247582462d6dcB945B160Fd20,2122,true
0x83378c70B12Be0431A36416622efD2e430B04628,2121,true
0x2a93E999816c9826aDe0B51AAa2d83240d8F4596,2113,true
0x036d78c5e87E0aA07Bf61815d1efFe10C9FD5275,2101,true
0xeC0D280929ed4a08F367CAD07bc5A3Bb4BB07687,2096,true
0xd01A73bef8D17Aa02466754FE43E99342AE30043,2093,true
0x1442059d5e3af94519fC867fF32d8C3702fD3A3c,2087,true
0x77BFeCac1D1Eb046D8a75C1D4cdABe267180646c,2084,true
0x5Fd21ebA060bA46ad458D6A2B0DB5C050F07FEb2,2079,true
0xe1affc1256e18a9F88D757427A56FE17164040b7,2079,true
0xCCe3B99Ddf68baea82689c0e51bb4d5d875DF0e4,2071,true
0xCeeCeeD4013547BB9e788196d7dBfB7C11A08DF6,2071,true
0x1bE54aCEDFDB81065585dE1f5816fB1b5BbFa932,2070,true
0x2CF1E7137EFaE14caA26b9bD60cf16fd52D5157E,2069,true
0x73da1aF06106A7f3Ac717EF0fD637177175D98B7,2065,true
0x23E2f3C97536363f49a24735F032db65A13d087C,2065,true
0xC667891581280551ad01A0feeCE6b925D9C9Bb08,2062,true
0x5586d438BE5920143c0f9B179835778fa81a544a,2056,true
0xBC08e57F8214577892144311dEccd7b5221c59Ee,2048,true
0x0e7ED0F5E2b020Cc0eA8697aEE2D9a920650d8Aa,2047,true
0x7FCa4Dc9cD1B28aA014903b742776Ef36034FEce,2044,true
0x6075B5Cfbd641818a9865cF9edB901F336258161,2044,true
0x00e413BBD5a2ED1e1Ad8FC5e0a87692D677456b0,2039,true
0x2B9A677752998AfbC99f1eED6e4B684AD5C6765a,2038,true
0xADd403e94985eee3108E16987EEa30C10E2dF2Ef,2035,true
0x54BE3a794282C030b15E43aE2bB182E14c409C5e,2034,true
0xAF55Fc9F9D38a9DF6273b60C8f8E4F27F131093D,2032,true
0xe3ECd40191d3bf455397B69f01846E7a6D1Dc8A8,2026,true
0xF5D4a3b9FB77d1d5600a10E0e1C4eFD12F9be751,2023,true
0x3bbD5797a11e5fC8BE0c59097B9D01E6eF2553e9,2023,true
0x404d42C64479eF23C935B94c4815c9Bb8822bb98,2021,true
0x078CC4caa131eB9d6D3E31847946d5F37fd3F58b,2017,true
0xA050dB47160Cd522D8C72066eE9C162cB4d49cAc,2017,true
0x4943e71E681BF92A643C13c97982319F0fA1FE98,2016,true
0x11356147119Ac90CD9e5a4316fe1088fd53616BA,2015,true
0x6dF7478Bb48E047dACcc2a70D1F8FA57A6bC495A,2015,true
0xEcfC8f120cb5eE3C334E46Fea0154F28f4A39539,2014,true
0x38D30C7Fa5F74B06fBA2eEFEdd361cD8139fBDAf,2011,true
0x69F66Bd6628fF27222DA37245Ed686c3Ef4766c9,2008,true
0x2BDd0badE9Ff7831c8CBE496479518A1bCd8fE64,2007,true
0x4b3b0A6c0BAcB088B6b0B0Ba31bAB77282068117,2002,true
0xa1703c893932487Db0e113BE32bd1f40B2131B3a,2000,true
0xCae3eB6537F4B5E06f770BccF935e15f6C92f3eD,2000,true
0x5491b4cC6d65e9638a50f8Be198708E419a58864,2000,true
0xe8c4170F68518c3b6BC3c6c9b33A071beA44E569,2000,true
0xfAc17ffb8e4EFA294d99EC4E0d25Bce791A5A148,1997,true
0x7C2bA9011a43C3982D9f0835243CeF142E0210A6,1995,true
0xBF47fE944705AeD612143C49315AE0D9161C7A97,1994,true
0xcf9b5cb8AeC81d8aEab6CF4e62DE238E6a7f82d7,1994,true
0xE7F64aE5BAf0ed5e494909DC3120EC074C078A14,1993,true
0x4FDF3264926c08f0E4D905Eb258B60725593aF44,1991,true
0xa734439d26Ce4dBf43ED7eb364Ec409D949bB369,1990,true
0x921Ae88E3618189CA7d832D740dF2444FD0Df4c1,1989,true
0x3dAacbb5c3CA768fD4D78956868D06F528088269,1987,true
0xd06e6cfAC4A46f0a1112AE0A00d1517159A1Ff3e,1985,true
0x5BE8f739C8Ea94D99b44ab0B1421889c8b99b2E1,1981,true
0x52cf7555249a995Cb828876096EeE6F7A793AD09,1981,true
0x52dbD5AeA5D61A4f7Fb760CFDc431Fbe3dC531A7,1979,true
0xebDeA0159E397B46E0Ec35d68DDba57897a2121b,1979,true
0xB49749b38081Fa66c4C2b14486b666D302847eAf,1979,true
0x8C702A9a6e0cd14a53251C630743c4F5327eddE8,1979,true
